date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:14:55	288008/288008	---M--	200	added ('OK')	image/png	etag:%2246508-59ac5451fd617%22	http://localhost/ShopOnline/public/upload/images/image1-1-banner-trai.png?time=1577801623	C:/Users/ACER/Desktop/trade/trade/localhost/ShopOnline/public/upload/images/image1-1-banner-traiaaa1.png	(from http://localhost/ShopOnline/index.php)
21:14:56	292272/292272	---M--	200	added ('OK')	image/png	etag:%22475b0-59ac5451ff541%22	http://localhost/ShopOnline/public/upload/images/image3-1-banner-trai.png?time=1577801623	C:/Users/ACER/Desktop/trade/trade/localhost/ShopOnline/public/upload/images/image3-1-banner-traiaaa1.png	(from http://localhost/ShopOnline/index.php)
21:14:59	308432/308432	---M--	200	added ('OK')	image/png	etag:%224b4d0-59ac5451fe5b6%22	http://localhost/ShopOnline/public/upload/images/image2-1-banner-trai.png?time=1577801623	C:/Users/ACER/Desktop/trade/trade/localhost/ShopOnline/public/upload/images/image2-1-banner-traiaaa1.png	(from http://localhost/ShopOnline/index.php)
21:15:02	41013/41013	---MC-	200	added ('OK')	text/html	date:Tue,%2031%20Dec%202019%2014:14:59%20GMT	http://localhost/ShopOnline/type/1-san-pham-order.html	C:/Users/ACER/Desktop/trade/trade/localhost/ShopOnline/type/1-san-pham-order.html	(from http://localhost/ShopOnline/index.php)
21:15:03	340543/340543	---M--	200	added ('OK')	image/png	etag:%225323f-59ac54265ad69%22	http://localhost/ShopOnline/public/upload/images/banner-1-banner-trai.png?time=1577801623	C:/Users/ACER/Desktop/trade/trade/localhost/ShopOnline/public/upload/images/banner-1-banner-traiaaa1.png	(from http://localhost/ShopOnline/index.php)
21:15:04	31002/31002	---MC-	200	added ('OK')	text/html	date:Tue,%2031%20Dec%202019%2014:15:02%20GMT	http://localhost/ShopOnline/product/1-macbookair13inch.html	C:/Users/ACER/Desktop/trade/trade/localhost/ShopOnline/product/1-macbookair13inch.html	(from http://localhost/ShopOnline/index.php)
21:15:05	13977/13977	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Tue,%2031%20Dec%202019%2014:15:04%20GMT	http://localhost/ShopOnline/macbook-air-mqd32_3.jpg	C:/Users/ACER/Desktop/trade/trade/localhost/ShopOnline/macbook-air-mqd32_3.jpg	(from http://localhost/ShopOnline/index.php)
21:15:10	74429/74429	---M--	200	added ('OK')	image/png	etag:%22122bd-59ac542ea5c0a%22	http://localhost/ShopOnline/public/upload/images/banner-2-banner-phai.png?time=1577801623	C:/Users/ACER/Desktop/trade/trade/localhost/ShopOnline/public/upload/images/banner-2-banner-phaiaaa1.png	(from http://localhost/ShopOnline/index.php)
21:15:11	0/0	---M--	302	error ('Found')	text/html	date:Tue,%2031%20Dec%202019%2014:15:10%20GMT	http://localhost/ShopOnline/product/view/1-macbookair13inch.html	C:/Users/ACER/Desktop/trade/trade/localhost/ShopOnline/product/view/1-macbookair13inch.1f.delayed	(from http://localhost/ShopOnline/index.php)
21:15:12	43055/43055	---M--	200	added ('OK')	image/jpeg	etag:%22a82f-59a7395ff3400%22	http://localhost/ShopOnline/public/upload/product/macbook-air-mqd32_3.jpg	C:/Users/ACER/Desktop/trade/trade/localhost/ShopOnline/public/upload/product/macbook-air-mqd32_3.jpg	(from http://localhost/ShopOnline/index.php)
21:15:13	30888/30888	---MC-	200	added ('OK')	text/html	date:Tue,%2031%20Dec%202019%2014:15:11%20GMT	http://localhost/ShopOnline/product/3-macbookair13inchmree2.html	C:/Users/ACER/Desktop/trade/trade/localhost/ShopOnline/product/3-macbookair13inchmree2.html	(from http://localhost/ShopOnline/index.php)
21:15:13	43055/43055	---M--	200	added ('OK')	image/jpeg	etag:%22a82f-59a7395ff3400%22	http://localhost/ShopOnline/public/upload/product/macbook-air-mqd32_3.jpg?time=1577801623	C:/Users/ACER/Desktop/trade/trade/localhost/ShopOnline/public/upload/product/macbook-air-mqd32_3aaa1.jpg	(from http://localhost/ShopOnline/index.php)
21:15:14	13977/13977	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Tue,%2031%20Dec%202019%2014:15:13%20GMT	http://localhost/ShopOnline/macbook-air-13-mree2.jpg	C:/Users/ACER/Desktop/trade/trade/localhost/ShopOnline/macbook-air-13-mree2.jpg	(from http://localhost/ShopOnline/index.php)
21:15:14	0/0	---M--	302	error ('Found')	text/html	date:Tue,%2031%20Dec%202019%2014:15:14%20GMT	http://localhost/ShopOnline/product/view/3-macbookair13inchmree2.html	C:/Users/ACER/Desktop/trade/trade/localhost/ShopOnline/product/view/3-macbookair13inchmree2.html	(from http://localhost/ShopOnline/index.php)
21:15:17	30933/30933	---MC-	200	added ('OK')	text/html	date:Tue,%2031%20Dec%202019%2014:15:15%20GMT	http://localhost/ShopOnline/product/6-macbookairsilver13inch.html	C:/Users/ACER/Desktop/trade/trade/localhost/ShopOnline/product/6-macbookairsilver13inch.html	(from http://localhost/ShopOnline/index.php)
21:15:18	28707/28707	---M--	200	added ('OK')	image/jpeg	etag:%227023-59a739992bb00%22	http://localhost/ShopOnline/public/upload/product/macbook-air-13-mree2.jpg	C:/Users/ACER/Desktop/trade/trade/localhost/ShopOnline/public/upload/product/macbook-air-13-mree2.jpg	(from http://localhost/ShopOnline/index.php)
21:15:19	13977/13977	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Tue,%2031%20Dec%202019%2014:15:18%20GMT	http://localhost/ShopOnline/macbook-air-13-2019-silver-1.png	C:/Users/ACER/Desktop/trade/trade/localhost/ShopOnline/macbook-air-13-2019-silver-1.26.delayed	(from http://localhost/ShopOnline/index.php)
21:15:20	28707/28707	---M--	200	added ('OK')	image/jpeg	etag:%227023-59a739992bb00%22	http://localhost/ShopOnline/public/upload/product/macbook-air-13-mree2.jpg?time=1577801623	C:/Users/ACER/Desktop/trade/trade/localhost/ShopOnline/public/upload/product/macbook-air-13-mree2aaa1.jpg	(from http://localhost/ShopOnline/index.php)
21:15:20	0/0	---M--	302	error ('Found')	text/html	date:Tue,%2031%20Dec%202019%2014:15:20%20GMT	http://localhost/ShopOnline/product/view/6-macbookairsilver13inch.html	C:/Users/ACER/Desktop/trade/trade/localhost/ShopOnline/product/view/6-macbookairsilver13inch.27.delayed	(from http://localhost/ShopOnline/index.php)
21:15:21	31002/31002	---MC-	200	added ('OK')	text/html	date:Tue,%2031%20Dec%202019%2014:15:20%20GMT	http://localhost/ShopOnline/product/11-macbookpro13inch.html	C:/Users/ACER/Desktop/trade/trade/localhost/ShopOnline/product/11-macbookpro13inch.html	(from http://localhost/ShopOnline/index.php)
21:15:26	47811/47811	---M--	200	added ('OK')	image/png	etag:%22bac3-59a739f4b9300%22	http://localhost/ShopOnline/public/upload/product/macbook-air-13-2019-silver-1.png	C:/Users/ACER/Desktop/trade/trade/localhost/ShopOnline/public/upload/product/macbook-air-13-2019-silver-1.png	(from http://localhost/ShopOnline/index.php)
21:15:27	47811/47811	---M--	200	added ('OK')	image/png	etag:%22bac3-59a739f4b9300%22	http://localhost/ShopOnline/public/upload/product/macbook-air-13-2019-silver-1.png?time=1577801623	C:/Users/ACER/Desktop/trade/trade/localhost/ShopOnline/public/upload/product/macbook-air-13-2019-silver-1aaa1.png	(from http://localhost/ShopOnline/index.php)
21:15:28	13977/13977	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Tue,%2031%20Dec%202019%2014:15:26%20GMT	http://localhost/ShopOnline/mbp13-gray_128gn-mpxq2.jpg	C:/Users/ACER/Desktop/trade/trade/localhost/ShopOnline/mbp13-gray_128gn-mpxq2.2a.delayed	(from http://localhost/ShopOnline/index.php)
21:15:28	0/0	---M--	302	error ('Found')	text/html	date:Tue,%2031%20Dec%202019%2014:15:28%20GMT	http://localhost/ShopOnline/product/view/11-macbookpro13inch.html	C:/Users/ACER/Desktop/trade/trade/localhost/ShopOnline/product/view/11-macbookpro13inch.html	(from http://localhost/ShopOnline/index.php)
21:15:29	48831/48831	---M--	200	added ('OK')	image/jpeg	etag:%22bebf-59a73afdd8480%22	http://localhost/ShopOnline/public/upload/product/mbp13-gray_128gn-mpxq2.jpg	C:/Users/ACER/Desktop/trade/trade/localhost/ShopOnline/public/upload/product/mbp13-gray_128gn-mpxq2.jpg	(from http://localhost/ShopOnline/index.php)
21:15:32	31089/31089	---MC-	200	added ('OK')	text/html	date:Tue,%2031%20Dec%202019%2014:15:28%20GMT	http://localhost/ShopOnline/product/13-macbookprotouch13inch.html	C:/Users/ACER/Desktop/trade/trade/localhost/ShopOnline/product/13-macbookprotouch13inch.html	(from http://localhost/ShopOnline/index.php)
21:15:33	13977/13977	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Tue,%2031%20Dec%202019%2014:15:32%20GMT	http://localhost/ShopOnline/mbp13touch-silver-37cu-256gb_geo_us_4.jpg	C:/Users/ACER/Desktop/trade/trade/localhost/ShopOnline/mbp13touch-silver-37cu-256gb_geo_us_4.jpg	(from http://localhost/ShopOnline/index.php)
21:15:36	48831/48831	---M--	200	added ('OK')	image/jpeg	etag:%22bebf-59a73afdd8480%22	http://localhost/ShopOnline/public/upload/product/mbp13-gray_128gn-mpxq2.jpg?time=1577801623	C:/Users/ACER/Desktop/trade/trade/localhost/ShopOnline/public/upload/product/mbp13-gray_128gn-mpxq2aaa1.jpg	(from http://localhost/ShopOnline/index.php)
21:15:36	0/0	---M--	302	error ('Found')	text/html	date:Tue,%2031%20Dec%202019%2014:15:36%20GMT	http://localhost/ShopOnline/product/view/13-macbookprotouch13inch.html	C:/Users/ACER/Desktop/trade/trade/localhost/ShopOnline/product/view/13-macbookprotouch13inch.2f.delayed	(from http://localhost/ShopOnline/index.php)
21:15:39	30813/30813	---MC-	200	added ('OK')	text/html	date:Tue,%2031%20Dec%202019%2014:15:36%20GMT	http://localhost/ShopOnline/product/14-dellinspiron14n3480.html	C:/Users/ACER/Desktop/trade/trade/localhost/ShopOnline/product/14-dellinspiron14n3480.html	(from http://localhost/ShopOnline/index.php)
21:15:41	68241/68241	---M--	200	added ('OK')	image/jpeg	etag:%2210a91-59a73c2393980%22	http://localhost/ShopOnline/public/upload/product/mbp13touch-silver-37cu-256gb_geo_us_4.jpg	C:/Users/ACER/Desktop/trade/trade/localhost/ShopOnline/public/upload/product/mbp13touch-silver-37cu-256gb_geo_us_4.jpg	(from http://localhost/ShopOnline/index.php)
21:15:42	13977/13977	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Tue,%2031%20Dec%202019%2014:15:41%20GMT	http://localhost/ShopOnline/dellinspiron14n3480-8145.jpg	C:/Users/ACER/Desktop/trade/trade/localhost/ShopOnline/dellinspiron14n3480-8145.32.delayed	(from http://localhost/ShopOnline/index.php)
21:15:44	24502/24502	---M--	200	added ('OK')	image/jpeg	etag:%225fb6-59a7f33cab500%22	http://localhost/ShopOnline/public/upload/product/dellinspiron14n3480-8145.jpg	C:/Users/ACER/Desktop/trade/trade/localhost/ShopOnline/public/upload/product/dellinspiron14n3480-8145.jpg	(from http://localhost/ShopOnline/index.php)
21:15:44	0/0	---M--	302	error ('Found')	text/html	date:Tue,%2031%20Dec%202019%2014:15:44%20GMT	http://localhost/ShopOnline/product/view/14-dellinspiron14n3480.html	C:/Users/ACER/Desktop/trade/trade/localhost/ShopOnline/product/view/14-dellinspiron14n3480.33.delayed	(from http://localhost/ShopOnline/index.php)
21:15:44	68241/68241	---M--	200	added ('OK')	image/jpeg	etag:%2210a91-59a73c2393980%22	http://localhost/ShopOnline/public/upload/product/mbp13touch-silver-37cu-256gb_geo_us_4.jpg?time=1577801623	C:/Users/ACER/Desktop/trade/trade/localhost/ShopOnline/public/upload/product/mbp13touch-silver-37cu-256gb_geo_us_4aaa1.jpg	(from http://localhost/ShopOnline/index.php)
21:15:46	31218/31218	---MC-	200	added ('OK')	text/html	date:Tue,%2031%20Dec%202019%2014:15:44%20GMT	http://localhost/ShopOnline/product/15-dellvostro155581.html	C:/Users/ACER/Desktop/trade/trade/localhost/ShopOnline/product/15-dellvostro155581.html	(from http://localhost/ShopOnline/index.php)
21:15:47	13977/13977	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Tue,%2031%20Dec%202019%2014:15:46%20GMT	http://localhost/ShopOnline/dellvostro155581.jpg	C:/Users/ACER/Desktop/trade/trade/localhost/ShopOnline/dellvostro155581.jpg	(from http://localhost/ShopOnline/index.php)
21:15:47	24502/24502	---M--	200	added ('OK')	image/jpeg	etag:%225fb6-59a7f33cab500%22	http://localhost/ShopOnline/public/upload/product/dellinspiron14n3480-8145.jpg?time=1577801623	C:/Users/ACER/Desktop/trade/trade/localhost/ShopOnline/public/upload/product/dellinspiron14n3480-8145aaa1.jpg	(from http://localhost/ShopOnline/index.php)
21:15:47	0/0	---M--	302	error ('Found')	text/html	date:Tue,%2031%20Dec%202019%2014:15:47%20GMT	http://localhost/ShopOnline/product/view/15-dellvostro155581.html	C:/Users/ACER/Desktop/trade/trade/localhost/ShopOnline/product/view/15-dellvostro155581.html	(from http://localhost/ShopOnline/index.php)
21:15:50	27545/27545	---M--	200	added ('OK')	image/jpeg	etag:%226b99-59a7f3538eb00%22	http://localhost/ShopOnline/public/upload/product/dellvostro155581.jpg	C:/Users/ACER/Desktop/trade/trade/localhost/ShopOnline/public/upload/product/dellvostro155581.jpg	(from http://localhost/ShopOnline/index.php)
21:15:50	31026/31026	---MC-	200	added ('OK')	text/html	date:Tue,%2031%20Dec%202019%2014:15:48%20GMT	http://localhost/ShopOnline/product/17-dellvostro346870161069.html	C:/Users/ACER/Desktop/trade/trade/localhost/ShopOnline/product/17-dellvostro346870161069.html	(from http://localhost/ShopOnline/index.php)
21:15:51	13977/13977	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Tue,%2031%20Dec%202019%2014:15:51%20GMT	http://localhost/ShopOnline/dellvostro346870161069jpg.jpg	C:/Users/ACER/Desktop/trade/trade/localhost/ShopOnline/dellvostro346870161069jpg.3a.delayed	(from http://localhost/ShopOnline/index.php)
21:15:52	27545/27545	---M--	200	added ('OK')	image/jpeg	etag:%226b99-59a7f3538eb00%22	http://localhost/ShopOnline/public/upload/product/dellvostro155581.jpg?time=1577801623	C:/Users/ACER/Desktop/trade/trade/localhost/ShopOnline/public/upload/product/dellvostro155581aaa1.jpg	(from http://localhost/ShopOnline/index.php)
21:15:52	0/0	---M--	302	error ('Found')	text/html	date:Tue,%2031%20Dec%202019%2014:15:52%20GMT	http://localhost/ShopOnline/product/view/17-dellvostro346870161069.html	C:/Users/ACER/Desktop/trade/trade/localhost/ShopOnline/product/view/17-dellvostro346870161069.3b.delayed	(from http://localhost/ShopOnline/index.php)
21:15:53	14016/14016	---M--	200	added ('OK')	image/jpeg	etag:%2236c0-59a7f39097b00%22	http://localhost/ShopOnline/public/upload/product/dellvostro346870161069jpg.jpg	C:/Users/ACER/Desktop/trade/trade/localhost/ShopOnline/public/upload/product/dellvostro346870161069jpg.jpg	(from http://localhost/ShopOnline/index.php)
